"date","Manipur/Bishnupur","Manipur/CAPF PErsonnel","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/CAPF personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem","Manipur/teng"
"2020-11-19","   .00 %","","   .00 %","","","","  1.25 %","  2.45 %","  1.56 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","  1.96 %","   .00 %","",""
"2020-11-20","   .00 %","","   .00 %","","","","  1.25 %","  2.45 %","  1.16 %","   .00 %","   .00 %","","   .00 %","","","","","   .00 %","","   .62 %","   .00 %","",""
"2020-11-22","  2.86 %","","   .00 %","","","   .00 %","   .00 %","  2.45 %","   .75 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.23 %","   .00 %","",""
"2020-11-23","  2.86 %","","   .00 %","","","   .00 %","  2.35 %","  1.95 %","   .75 %","","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","  1.23 %","   .00 %","",""
"2020-11-26","  5.36 %","","","","","   .00 %","  3.41 %","   .00 %","  1.10 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .61 %","   .00 %","",""
"2020-11-27","  5.36 %","","   .00 %","","","","  3.41 %","  1.33 %","  2.50 %","","   .00 %","","","","   .00 %","","","   .00 %","","   .61 %","   .00 %","",""
"2020-11-28","  5.36 %","","   .00 %","","","  3.33 %","  3.41 %","  1.75 %","  3.48 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","  6.67 %","   .00 %","  1.19 %","   .00 %","",""
"2020-11-29","  4.72 %","","   .00 %","","","","  3.41 %","  2.97 %","  4.36 %","   .00 %","   .00 %","","  2.86 %","","   .00 %","   .00 %","   .00 %","  6.67 %","","   .59 %","   .00 %","",""
"2020-11-30","  6.72 %","","","","","  3.33 %","  1.05 %","  4.13 %","  5.54 %","   .00 %","   .00 %","","","","","","","  6.67 %","","   .59 %","   .00 %","",""
"2020-12-01","  7.86 %","","   .00 %","","","  3.33 %","   .00 %","  5.22 %","  5.09 %","   .00 %","   .00 %","","  5.36 %","","","","   .00 %","  6.67 %","","   .59 %"," 20.00 %","",""
"2020-12-26","  7.86 %","","","","","","   .00 %","  3.89 %","  3.69 %","","   .00 %","","","","","","   .00 %","","","   .59 %","","",""
"2020-12-27","  7.86 %","","   .00 %","","","","  1.00 %","  3.81 %","  3.25 %","","   .00 %","","","","   .00 %","","   .00 %","  6.67 %","   .00 %","   .00 %","","",""
"2020-12-28","  5.64 %","","   .00 %","","","","  1.00 %","  2.59 %","  2.00 %","","   .00 %","","","","","","","","","","","",""
"2020-12-29","  3.64 %","","   .00 %","","","","  1.95 %","  1.44 %","  1.36 %","","  4.00 %","","  5.36 %","","","","","  5.00 %","","   .00 %","","",""
"2020-12-30","   .00 %","","","","","","  1.95 %","   .68 %","  1.08 %","   .00 %","  4.00 %","","","","","","   .00 %","  5.00 %","   .00 %","   .00 %","","",""
"2020-12-31","  1.54 %","","   .00 %","","","","","   .68 %","  1.08 %","","","","","","","","   .00 %","  5.00 %","","   .00 %","","",""
"2021-01-01","  1.54 %","","","","","","","   .34 %","   .79 %","   .00 %","","","","","","","","","","   .00 %"," 20.00 %","",""
"2021-01-02","  1.54 %","","","","","","  1.95 %","   .34 %","   .79 %","","  7.33 %","","","","","","","  5.00 %","","   .00 %","","",""
"2021-01-03","  1.54 %","","   .00 %","","","","   .95 %","   .34 %","   .52 %","","  7.33 %","","  5.36 %","","","","","  5.00 %","","   .00 %","","",""
"2021-01-04","  2.97 %","","","","","","   .95 %","   .00 %","   .77 %","","  7.33 %","","  7.58 %","","","","   .00 %","","","   .00 %","","",""
"2021-01-05","  1.43 %","","   .00 %","","","","","   .67 %","","","  3.33 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","",""
"2021-01-06","  1.43 %","","   .00 %","","","","   .00 %","   .67 %","   .77 %","","","","","","","","","   .00 %","   .00 %","   .00 %","","",""
"2021-01-07","  1.43 %","","   .00 %","","","  3.33 %","   .91 %","   .67 %","   .51 %","","","","","","   .00 %","","","","",""," 20.00 %","",""
"2021-01-08","","","","","","","","   .67 %","   .51 %","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","",""
"2021-01-09","  1.43 %","","","","","  3.33 %","   .91 %","   .67 %","   .50 %","","  3.33 %","","","","   .00 %","","","","","   .00 %","","",""
"2021-01-10","   .00 %","","   .00 %","","","","   .91 %","   .00 %","   .25 %","","","","","","","","","","","","","",""
"2021-01-11","   .00 %","","   .00 %","","","","","   .00 %","   .25 %","","   .00 %","","","","","","","   .00 %","","   .00 %"," 20.00 %","",""
"2021-01-13","","","   .00 %","","","   .00 %","   .91 %","   .00 %","   .25 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","","   .00 %","   .00 %","","",""
"2021-01-14","","","","","","","   .91 %","   .00 %","   .25 %","","","","","","","","   .00 %","   .00 %","","","","",""
"2021-01-15","","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","","","",""
"2021-01-16","","","","","","   .00 %","","   .00 %","   .25 %","","","","  4.72 %","","","","","   .00 %","","   .00 %","","",""
"2021-01-17","   .00 %","","   .00 %","","","","   .00 %","","   .25 %","","","","","","","","","   .00 %","","   .00 %","","",""
"2021-01-18","   .00 %","","","","","","","   .00 %","   .25 %","","","","","","","","","","","   .00 %","","",""
"2021-01-19","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .49 %","","","","","","","","   .00 %","","","   .00 %","","",""
"2021-01-20","","","","","","   .00 %","   .00 %","   .00 %","   .49 %","","   .00 %","","  2.22 %","","","","","","","","","",""
"2021-01-21","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .24 %","","","","","","","","   .00 %","","","   .00 %","","",""
"2021-01-22","   .00 %","","","","","   .00 %","   .00 %","   .00 %","   .48 %","","","","  2.22 %","","","","","","","   .00 %"," 30.00 %","",""
"2021-01-23","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .48 %","","","","","","","","","   .00 %","","","","",""
"2021-01-24","","","   .00 %","","","","   .00 %","   .00 %","   .24 %","","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %","","",""
"2021-01-25","","","","","","   .00 %","","   .00 %","   .24 %","","   .00 %","","","","","","","   .00 %","","","","",""
"2021-01-26","   .00 %","","","","","   .00 %","","   .00 %","   .24 %","","","","","","","","","","","","","",""
"2021-01-27","  1.33 %","","","","","","","   .00 %","   .00 %","","","","","","","","","","","   .00 %","","",""
"2021-01-28","  1.33 %","","","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","","","","",""
"2021-01-29","  1.33 %","","","","","   .00 %","   .87 %","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","",""
"2021-01-30","","","   .00 %","","","   .00 %","   .87 %","   .00 %","   .00 %","","   .00 %","","  2.22 %","","","","","","","   .00 %","","",""
"2021-01-31","  1.33 %","","","","","","   .87 %","","   .00 %","","   .00 %","","","","","","   .00 %","","","   .00 %","","",""
"2021-02-01","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","",""
"2021-02-02","  1.33 %","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-02-03","   .00 %","","","","","   .00 %","   .87 %","   .00 %","   .00 %","","","","","","","","","","","   .00 %","","",""
"2021-02-04","   .00 %","","","","","","   .87 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","   .00 %","","",""
"2021-02-05","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","   .00 %","","","","",""
"2021-02-06","   .00 %","","","","","   .00 %","","","   .00 %","","","","","","","","","","","   .00 %","","",""
"2021-02-07","","","   .00 %","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","","",""
"2021-02-08","","","","","","","","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %","","","","",""
"2021-02-09","","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","   .00 %","","",""
"2021-02-10","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","",""
"2021-02-11","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","   .00 %","","",""
"2021-02-12","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","","   .00 %","   .00 %","","","",""
"2021-02-13","","","","","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","",""
"2021-02-14","   .00 %","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","","","","",""
"2021-02-15","   .00 %","","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","","","","","","",""
"2021-02-16","   .00 %","","","","","","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","","","","","",""
"2021-02-17","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","   .00 %","","   .00 %","","",""
"2021-02-18","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-02-19","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","   .00 %"," 10.00 %","",""
"2021-02-20","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2021-02-21","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","",""
"2021-02-22","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","   .00 %","","",""
"2021-02-23","","","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","",""
"2021-02-24","   .00 %","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-02-25","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2021-02-26","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","",""
"2021-02-27","","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","",""
"2021-02-28","","","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-03-01","","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2021-03-02","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-03-03","","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2021-03-05","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","   .00 %","","",""
"2021-03-06","","","","","","","","   .00 %","","","","","","","   .00 %","","","","","","","",""
"2021-03-07","","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-03-08","   .00 %","","","","","","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","",""
"2021-03-09","","","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","",""
"2021-03-10","   .00 %","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","","","",""
"2021-03-11","","","","","","","   .00 %","   .00 %","","","   .00 %","","","","","","","   .00 %","","","","",""
"2021-03-12","","","","","","","","","","","","","","","","","","","",""," 10.00 %","",""
"2021-03-13","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2021-03-14","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","","","",""
"2021-03-16","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2021-03-17","   .00 %","","   .00 %","","","","","","","","","","","","   .00 %","","   .00 %","","","","","",""
"2021-03-18","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2021-03-19","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2021-03-20","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","",""
"2021-03-21","","","","","","","","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","",""
"2021-03-22","","","   .00 %","","","","","   .00 %","","","   .00 %","","","","","","","","","","","",""
"2021-03-23","   .00 %","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","","   .00 %"," 10.00 %","",""
"2021-03-24","","","","","","","   .83 %","   .00 %","   .00 %","","","","   .00 %","","","","","   .00 %","","","","",""
"2021-03-25","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2021-03-26","","","","","","","","   .00 %","","","   .00 %","","","","","","","","   .00 %","   .00 %","","",""
"2021-03-27","   .00 %","","   .00 %","","","","","   .00 %","","","","","","","","","   .00 %","","","","","",""
"2021-03-28","   .00 %","","","","","","   .83 %","   .00 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","",""
"2021-03-29","   .00 %","","","","","","","","   .00 %","","   .00 %","","","","","","","","",""," 10.00 %","",""
"2021-03-30","","","","","","","","","","","","","   .00 %","","","","","","","","   .00 %","",""
"2021-03-31","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2021-04-01","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2021-04-02","","","   .00 %","","","","","   .00 %","   .00 %","","","","","","","","","","   .00 %","","","",""
"2021-04-03","","","","","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","","","   .00 %","",""
"2021-04-04","","","   .00 %","","","","   .83 %","   .00 %","   .00 %","","","","","","","","","","","","   .00 %","",""
"2021-04-05","","","","","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","   .00 %","   .00 %","","",""
"2021-04-06","   .00 %","","","","","","","   .00 %","   .00 %","","","","","","","","","   .00 %","","","","",""
"2021-04-07","","","   .00 %","","","","   .83 %","   .00 %","   .00 %","","","","","","","","","","","   .00 %","   .00 %","",""
"2021-04-08","  1.25 %","","   .00 %","","","","   .83 %","   .00 %","   .00 %","   .00 %","","","","","","","","","","","","",""
"2021-04-09","  1.25 %","","","","","","","   .00 %","   .00 %","","","","","","","","   .00 %","","","","","",""
"2021-04-10","","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","","","","","","",""
"2021-04-11","","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","","","","","","","","","","",""
"2021-04-12","","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","","","","",""
"2021-04-13","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","","","   .00 %","","",""
"2021-04-14","  1.25 %","","","","","","   .00 %","","   .00 %","","","","","","","","","","   .00 %","   .00 %","","",""
"2021-04-15","  1.25 %","","   .00 %","","","","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","","","","","   .00 %","","",""
"2021-04-16","  1.25 %","","   .00 %","","","","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2021-04-17","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","","","","","   .00 %","   .00 %","","",""
"2021-04-18","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","","","   .00 %","","",""
"2021-04-19","","","   .00 %","","","","   .00 %","   .00 %","   .24 %","","   .00 %","","   .00 %","","","","","","","   .00 %","","",""
"2021-04-20","   .00 %","","","","","","   .00 %","   .00 %","   .24 %","","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .57 %","   .00 %","",""
"2021-04-21","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .24 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","","   .57 %","","",""
"2021-04-22","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .32 %","   .24 %","","   .00 %","","","","","","   .00 %","","","   .57 %","","",""
"2021-04-23","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .32 %","   .24 %","","   .00 %","","   .00 %","","","","   .00 %","","","   .57 %","   .00 %","",""
"2021-04-24","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .64 %","   .24 %","","   .00 %","","   .00 %","","","","","","","   .57 %","   .00 %","",""
"2021-04-25","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .64 %","   .70 %","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2021-04-26","   .00 %","","   .00 %","","","   .00 %","   .80 %","  1.27 %","   .93 %","","   .00 %","","   .00 %","","","","","","","   .56 %","   .00 %","",""
"2021-04-27","   .00 %","","   .00 %","","","   .00 %","   .80 %","  1.25 %","  1.38 %","","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .56 %","","",""
"2021-04-28","   .00 %","","   .00 %","","","   .00 %","   .80 %","  1.54 %","  1.60 %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","","   .00 %","   .56 %","   .00 %","",""
"2021-04-29","  1.18 %","","   .00 %","","","","   .80 %","  1.81 %","  1.80 %","","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .56 %","   .00 %","",""
"2021-04-30","  1.18 %","","   .00 %","","","   .00 %","   .80 %","  1.81 %","  2.18 %","   .00 %","  2.86 %","","","","   .00 %","","   .00 %","","","   .56 %","   .00 %","",""
"2021-05-01","  1.18 %","","   .00 %","","","   .00 %","   .77 %","  1.48 %","  2.36 %","","  5.36 %","","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""
"2021-05-02","  1.18 %","","","","","   .00 %","   .77 %","  1.17 %","  1.91 %","   .00 %","  5.36 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","",""
"2021-05-03","  1.18 %","","   .00 %","","","   .00 %","   .77 %","  1.16 %","  2.29 %","","  7.58 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","  1.08 %","   .00 %","",""
"2021-05-04","  1.11 %","","   .00 %","","","","   .77 %","   .57 %","  1.86 %","   .00 %","  7.58 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  1.59 %","   .00 %","",""
"2021-05-05","  1.11 %","","   .00 %","","","   .00 %","  1.51 %","  1.40 %","  1.78 %","   .00 %","  4.72 %","","  4.00 %","","","","   .00 %","   .00 %","","  1.59 %","   .00 %","",""
"2021-05-07","  1.11 %","","   .00 %","","","   .00 %","   .74 %","  1.38 %","  1.38 %","","  4.22 %","   .00 %","  4.00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.59 %","   .00 %","",""
"2021-05-08","  1.11 %","","   .00 %","","","   .00 %","   .74 %","  2.17 %","  2.31 %","   .00 %","  4.22 %","","  7.33 %","","   .00 %","","   .00 %","","   .00 %","  2.09 %","  6.67 %","",""
"2021-05-09","  1.11 %","","   .00 %","","","   .00 %","  1.46 %","  3.41 %","  2.96 %","","  3.82 %","   .00 %","  7.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.01 %","  6.67 %","",""
"2021-05-10","  1.05 %","","   .00 %","","","  2.86 %","  1.46 %","  3.64 %","  4.14 %","   .00 %","  5.48 %","","  7.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.48 %","  6.67 %","",""
"2021-05-11","  1.05 %","","   .00 %","","","  5.36 %","  1.40 %","  4.67 %","  4.00 %","   .00 %","  8.56 %","   .00 %","  3.33 %","","","","   .00 %","   .00 %","   .00 %","  2.87 %","  6.67 %","",""
"2021-05-12","  2.05 %","","   .00 %","","","  5.36 %","  2.74 %","  6.11 %","  4.46 %","","  7.90 %","   .00 %","  3.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  3.74 %","  6.67 %","",""
"2021-05-13","  2.05 %","","   .00 %","","","  5.36 %","  2.74 %","  6.30 %","  3.97 %","   .00 %","  7.90 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","  3.24 %","  5.00 %","",""
"2021-05-14","  3.96 %","","   .00 %","","","  5.36 %","  2.65 %","  5.53 %","  4.05 %","   .00 %","  6.08 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","  3.24 %","  5.00 %","",""
"2021-05-15","  2.90 %","","   .00 %","","","  2.50 %","  3.25 %","  5.65 %","  3.70 %","   .00 %","  5.66 %","","   .00 %","","","","   .00 %","   .00 %","","  2.26 %","  5.00 %","",""
"2021-05-16","  3.77 %","","   .00 %","","","   .00 %","  3.74 %","  3.97 %","  4.26 %","","  2.58 %","   .00 %","   .00 %","","",""," 20.00 %","   .00 %","   .00 %","  1.29 %","  9.00 %","",""
"2021-05-17","  2.77 %","","   .00 %","","","   .00 %","  2.41 %","  3.14 %","  4.92 %","   .00 %","  1.25 %","   .00 %","","","   .00 %",""," 20.00 %","   .00 %","","   .42 %","  9.00 %","",""
"2021-05-18","  2.77 %","","   .00 %","","","   .00 %","  3.52 %","  3.67 %","  5.06 %","","  2.43 %","","   .00 %","","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .82 %","  7.33 %","",""
"2021-05-19","  5.87 %","","   .00 %","","","   .00 %","  3.42 %","  3.86 %","  4.31 %","","  4.65 %","","   .00 %","","","   .00 %"," 30.00 %","   .00 %","   .00 %","  1.62 %"," 10.19 %","",""
"2021-05-20","  5.87 %","","   .00 %","","","   .00 %","  3.33 %","  3.95 %","  4.27 %","","  3.40 %","","   .00 %","","   .00 %","","","","   .00 %","  1.62 %"," 10.19 %","",""
"2021-05-21","  5.00 %","","   .00 %","","","   .00 %","  2.15 %","  4.07 %","  4.26 %","","  3.40 %","","  2.86 %","","",""," 30.00 %","   .00 %","   .00 %","  1.21 %","  6.19 %","",""
"2021-05-22","  5.00 %","","   .00 %","","","   .00 %","  2.65 %","  3.77 %","  3.74 %","","  4.40 %","   .00 %","  2.86 %","","   .00 %",""," 10.00 %","   .00 %","   .00 %","  1.59 %","  6.19 %","",""
"2021-05-23","  5.67 %","","   .00 %","","","   .00 %","  2.51 %","  2.67 %","  3.74 %","   .00 %","  4.17 %","   .00 %","  2.86 %","","   .00 %",""," 10.00 %","   .00 %","","  1.56 %","  2.86 %","",""
"2021-05-24","  1.31 %","","   .00 %","","","   .00 %","  1.99 %","  2.69 %","  3.84 %","   .00 %","  2.86 %","   .00 %","  2.86 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.13 %","   .00 %","",""
"2021-05-25","  1.94 %","","","","","   .00 %","  1.48 %","  2.77 %","  3.79 %","","  3.73 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.50 %","   .00 %","",""
"2021-05-26","  2.54 %","","   .00 %","","","   .00 %","  1.48 %","  2.99 %","  2.97 %","   .00 %","  3.73 %","   .00 %","  4.11 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.50 %","   .00 %","",""
"2021-05-27","  2.54 %","","   .00 %","","","   .00 %","  1.91 %","  3.03 %","  2.71 %","   .00 %","  6.90 %"," 20.00 %","  1.25 %","","","","   .00 %","  4.00 %","   .00 %","  1.11 %","   .00 %","",""
"2021-05-28","  3.05 %","","   .00 %","","","   .00 %","   .93 %","  3.09 %","  2.46 %","   .00 %","  5.95 %","","  1.25 %","","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","  1.45 %","  2.50 %","",""
"2021-05-29","  2.96 %","","   .00 %","","","   .00 %","   .93 %","  2.72 %","  2.30 %","   .00 %","  5.04 %"," 20.00 %","  1.25 %","","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","  1.77 %","  4.72 %","",""
"2021-05-30","  2.34 %","","   .00 %","","","   .00 %","  3.15 %","  2.77 %","  1.89 %","   .00 %","  5.55 %"," 20.00 %","  1.25 %","","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","  1.40 %","  6.72 %","",""
"2021-05-31","  2.27 %","","   .00 %","","","   .00 %","  3.55 %","  2.60 %","  2.10 %","   .00 %","  6.84 %"," 20.00 %","   .00 %","","","","   .00 %","  4.00 %","","  1.40 %","  6.72 %","",""
"2021-06-01","  2.27 %","","   .00 %","","","   .00 %","  3.41 %","  2.52 %","  2.15 %","   .00 %","  3.88 %","","  1.18 %",""," 20.00 %","","   .00 %","   .00 %","","  1.74 %","  6.72 %","",""
"2021-06-02","  1.62 %","","   .00 %","","","   .00 %","  4.16 %","  2.25 %","  2.19 %","   .00 %","  5.02 %","","  1.18 %",""," 20.00 %","","   .00 %","   .00 %"," 20.00 %","  1.02 %","  6.04 %","",""
"2021-06-03","  1.07 %","","   .00 %","","","  2.22 %","  4.16 %","  2.19 %","  1.76 %","   .00 %","  6.11 %","","  1.18 %","","","   .00 %","   .00 %","   .00 %"," 20.00 %","   .66 %","  3.82 %","",""
"2021-06-04","  1.58 %","","","","","  2.22 %","  1.94 %","  2.44 %","  1.66 %","   .00 %","  4.73 %"," 20.00 %","  2.29 %",""," 20.00 %","","   .00 %","   .00 %"," 20.00 %","   .98 %","  1.82 %","",""
"2021-06-05","  1.54 %","","   .00 %","","","  2.22 %","  1.54 %","  2.50 %","  1.31 %","","  3.95 %","   .00 %","  2.29 %",""," 20.00 %","","   .00 %","   .00 %"," 20.00 %","   .98 %","  1.82 %","",""
"2021-06-06","  1.54 %","","","","","  2.22 %","   .75 %","  1.95 %","   .92 %","   .00 %","  2.74 %","   .00 %","  1.11 %",""," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .65 %","  1.82 %","",""
"2021-06-07","  1.50 %","","","","","  2.22 %","   .36 %","  2.32 %","   .90 %","   .00 %","  1.59 %","   .00 %","  1.11 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.29 %","   .00 %","",""
"2021-06-08","  1.98 %","","","","","   .00 %","  1.08 %","  2.17 %","  1.11 %","   .00 %","   .51 %","   .00 %","  1.11 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.27 %","   .00 %","",""
"2021-06-09","  1.46 %","","","","","   .00 %","  1.42 %","  1.44 %","  1.10 %","   .00 %","  1.01 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  1.25 %","   .00 %","",""
"2021-06-10","   .96 %","","","","","   .00 %","  1.76 %","  1.14 %","  1.30 %","   .00 %","   .50 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.84 %","   .00 %","",""
"2021-06-11","  1.43 %","","   .00 %","","","   .00 %","  2.76 %","  1.41 %","  1.79 %","   .00 %","   .99 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.71 %","  1.67 %","",""
"2021-06-12","  1.85 %","","","","","   .00 %","  3.03 %","  1.10 %","  1.69 %","   .00 %","  1.46 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  2.91 %","  1.67 %","",""
"2021-06-13","  2.24 %","","   .00 %","","","   .00 %","  2.32 %","   .91 %","  1.87 %"," 20.00 %","  1.93 %","","","","   .00 %","","","   .00 %","","  2.87 %","  3.21 %","",""
"2021-06-14","  3.08 %","","   .00 %","","","   .00 %","  2.90 %","  1.08 %","  1.91 %","","  1.88 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  3.36 %","  3.21 %","",""
"2021-06-15","  3.08 %","","   .00 %","","","  2.00 %","  2.56 %","  1.07 %","  1.75 %"," 20.00 %","  2.33 %","","  1.05 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.76 %","  3.21 %","",""
"2021-06-16","  3.41 %","","   .00 %","","","  2.00 %","  2.15 %","   .80 %","  1.51 %"," 20.00 %","  2.28 %","","  1.05 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  2.14 %","  1.54 %","",""
